,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
0,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,MACS6222 (C),6.4,82.1,12.4,38.8,8.0,36.7,46.9,0
1,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,GW322 (C),5.8,80.6,10.9,38.0,7.5,36.1,45.0,0
2,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,UAS428(d) (C),7.2,83.2,11.4,35.0,0.0,34.0,49.6,0
3,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,MACS3949(d) (C),7.6,83.6,10.8,38.0,0.0,35.4,42.6,0
4,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,DDW48(d)(I) (C),7.0,83.2,10.9,30.3,0.0,34.8,40.0,1
5,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,WHD965(d),7.4,83.5,12.2,35.3,0.0,34.1,50.1,0
6,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,HI8826(d),7.0,82.6,10.7,27.6,0.0,32.8,44.9,0
7,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,MACS4100(d),6.8,83.0,10.9,42.3,0.0,28.6,36.6,1
8,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,DDW53(d),6.8,82.7,11.3,30.7,0.0,33.8,42.7,0
9,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,NIDW1345(d),6.2,83.0,11.5,34.2,0.0,34.1,44.1,0
10,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,MACS4106(d),6.2,80.2,11.2,34.2,0.0,36.6,49.8,0
11,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,NIDW1348(d),7.0,82.4,11.2,35.7,0.0,36.1,44.9,0
12,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,HI8828(d),7.8,82.4,11.9,30.7,0.0,35.1,46.9,0
13,Peninsular Zone (PZ),Pune,Irrigated Timely Sown,HI8827(d),6.6,81.8,11.6,30.3,0.0,33.0,45.3,0
14,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,MACS6222 (C),5.0,81.8,13.5,38.8,7.5,42.5,36.2,1
15,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,GW322 (C),5.6,80.7,12.0,40.7,7.5,40.3,34.7,1
16,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,UAS428(d) (C),6.4,83.5,12.3,31.5,0.0,38.6,39.2,1
17,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,MACS3949(d) (C),5.4,81.7,12.3,40.7,0.0,41.3,36.5,1
18,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,DDW48(d)(I) (C),6.6,82.6,11.8,32.3,0.0,37.8,34.4,1
19,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,WHD965(d),6.6,82.8,12.7,34.6,0.0,39.7,36.8,1
20,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,HI8826(d),6.2,82.3,11.6,28.4,0.0,37.4,38.8,1
21,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,MACS4100(d),5.8,82.4,11.3,41.1,0.0,37.5,35.9,1
22,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,DDW53(d),5.2,81.5,11.9,37.7,0.0,38.3,34.5,1
23,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,NIDW1345(d),5.4,82.9,13.0,34.2,0.0,40.1,40.7,1
24,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,MACS4106(d),6.2,81.3,11.9,31.1,0.0,39.6,37.9,1
25,Peninsular Zone (PZ),Dharwad,Irrigated Timely Sown,NIDW1348(d),5.6,81.8,11.4,36.5,0.0,38.7,34.4,1
